ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13469384,JH274836,05/22/2024 07:15:00 PM,0000X S SPRINGFIELD AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),ALLEY,true,false,1122,011,28,26,18,1150400,1899553,2024,05/17/2025 03:40:52 PM,41.880275658,-87.723210536,"(41.880275658, -87.723210536)"
13464352,JH268328,05/18/2024 08:34:00 AM,002XX W 87TH ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0622,006,21,44,06,1176467,1847230,2024,05/17/2025 03:40:52 PM,41.736148121,-87.629070243,"(41.736148121, -87.629070243)"
13466533,JH267194,05/16/2024 08:00:00 PM,082XX S ELLIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0631,006,8,44,14,1184328,1850632,2024,05/17/2025 03:40:52 PM,41.745303445,-87.600164398,"(41.745303445, -87.600164398)"
13461690,JH265272,05/16/2024 01:27:00 AM,031XX S GREEN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,true,0913,009,11,60,14,1171072,1884030,2024,05/17/2025 03:40:52 PM,41.837250964,-87.647760548,"(41.837250964, -87.647760548)"
13471098,JH276636,05/24/2024 06:15:00 AM,001XX S HALSTED ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,1232,012,34,28,06,1171070,1899648,2024,05/17/2025 03:40:52 PM,41.880108035,-87.647309981,"(41.880108035, -87.647309981)"
13471780,JH276600,05/23/2024 03:55:00 PM,007XX W BRIAR PL,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1934,019,44,6,06,1170749,1921145,2024,05/17/2025 03:40:52 PM,41.939104022,-87.647857831,"(41.939104022, -87.647857831)"
13472530,JH278558,05/25/2024 03:36:00 PM,054XX S TALMAN AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,false,false,0923,009,14,63,15,1159627,1868584,2024,05/17/2025 03:40:52 PM,41.795108232,-87.690181356,"(41.795108232, -87.690181356)"
13468133,JH273162,05/21/2024 12:00:00 AM,092XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0633,006,8,44,08A,1183173,1844063,2024,05/17/2025 03:40:52 PM,41.727304299,-87.604600275,"(41.727304299, -87.604600275)"
13473507,JH279703,05/25/2024 07:00:00 PM,051XX N GLENWOOD AVE,0810,THEFT,OVER $500,STREET,false,false,2033,020,47,3,06,1166053,1934440,2024,05/17/2025 03:40:52 PM,41.975687799,-87.664735558,"(41.975687799, -87.664735558)"
13464578,JH268589,05/18/2024 12:41:00 PM,023XX W MADISON ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,SIDEWALK,true,false,1223,012,27,28,24,1160918,1899964,2024,05/17/2025 03:40:52 PM,41.881191799,-87.684578085,"(41.881191799, -87.684578085)"
13472288,JH278233,05/25/2024 10:40:00 AM,009XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1813,018,2,7,06,1169689,1910843,2024,05/17/2025 03:40:52 PM,41.910858013,-87.652054407,"(41.910858013, -87.652054407)"
13464485,JH268539,05/18/2024 12:20:00 PM,033XX W DIVISION ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1121,011,26,23,08A,1153906,1907786,2024,05/17/2025 03:40:52 PM,41.902798698,-87.710117236,"(41.902798698, -87.710117236)"
13473961,JH280255,05/27/2024 12:16:00 AM,042XX N ALBANY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,false,false,1724,017,33,16,15,1154961,1927918,2024,05/17/2025 03:40:52 PM,41.958021356,-87.70570069,"(41.958021356, -87.70570069)"
13467421,JH268144,05/18/2024 02:30:00 AM,059XX W FULTON ST,0460,BATTERY,SIMPLE,STREET,false,false,1512,015,29,25,08B,1136938,1901404,2024,05/17/2025 03:40:52 PM,41.885607027,-87.772597826,"(41.885607027, -87.772597826)"
13463485,JH267352,05/17/2024 02:50:00 PM,010XX W LOYOLA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2432,024,49,1,14,1168005,1943891,2024,05/17/2025 03:40:52 PM,42.001579524,-87.657283024,"(42.001579524, -87.657283024)"
13473340,JH279498,05/25/2024 12:15:00 PM,086XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0632,006,6,44,06,1178658,1847841,2024,05/17/2025 03:40:52 PM,41.7377753,-87.621024714,"(41.7377753, -87.621024714)"
13470759,JH276187,05/19/2024 09:00:00 PM,0000X E CHICAGO AVE,0460,BATTERY,SIMPLE,CONVENIENCE STORE,false,false,1833,018,2,8,08B,1176739,1905742,2024,05/17/2025 03:40:52 PM,41.896704058,-87.626309934,"(41.896704058, -87.626309934)"
13469642,JH274849,05/22/2024 07:30:00 PM,031XX W LEXINGTON ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,1134,011,24,27,06,1155554,1896532,2024,05/17/2025 03:40:52 PM,41.871883622,-87.704366801,"(41.871883622, -87.704366801)"
13473306,JH279373,05/26/2024 08:00:00 AM,060XX S HALSTED ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0712,007,16,68,08B,1172001,1864933,2024,05/17/2025 03:40:52 PM,41.784826483,-87.644913015,"(41.784826483, -87.644913015)"
